id,make,model,trim,model_year,available_from_year,available_to_year,uk_market_status,body_style,segment,powertrain,fuel_type,purchase_price_gbp,efficiency_value,efficiency_unit,battery_kwh,tailpipe_gco2_per_km,manufacturing_gco2e_kg,annual_maintenance_gbp,insurance_group,depreciation_3yr_pct,source_note
tesla-model-3-rwd,Tesla,Model 3,RWD,2024,2021,2026,current,saloon,compact-executive,EV,electric,39990,14.4,kwh_per_100km,57,0,9800,360,48,0.46,Curated UK demo trim estimate using public model range and WLTP style assumptions
tesla-model-3-long-range,Tesla,Model 3,Long Range AWD,2024,2021,2026,current,saloon,compact-executive,EV,electric,49990,15.2,kwh_per_100km,75,0,11200,390,50,0.47,Curated UK demo trim estimate using public model range and WLTP style assumptions
tesla-model-y-rwd,Tesla,Model Y,RWD,2024,2022,2026,current,suv,crossover,EV,electric,44990,15.7,kwh_per_100km,60,0,10800,385,46,0.45,Curated UK demo trim estimate using public model range and WLTP style assumptions
tesla-model-y-long-range-rwd,Tesla,Model Y,Long Range RWD,2024,2024,2025,used,suv,crossover,EV,electric,46990,14.9,kwh_per_100km,75,0,11100,390,48,0.45,Curated UK demo trim estimate cross-checked against public 2024 UK Model Y range references
tesla-model-y-long-range-awd,Tesla,Model Y,Long Range AWD,2024,2022,2026,current,suv,crossover,EV,electric,51990,16.1,kwh_per_100km,75,0,11600,410,50,0.46,Curated UK demo trim estimate cross-checked against public 2024 UK Model Y range references
tesla-model-y-performance-awd,Tesla,Model Y,Performance AWD,2024,2022,2025,used,suv,crossover,EV,electric,59990,17.3,kwh_per_100km,75,0,11800,440,50,0.48,Curated UK demo trim estimate cross-checked against public 2024 UK Model Y range references
hyundai-ioniq-5-rwd,Hyundai,Ioniq 5,Premium RWD,2023,2021,2026,current,crossover,crossover,EV,electric,43000,16.9,kwh_per_100km,77,0,11200,390,38,0.48,Curated UK demo trim estimate using public model range and WLTP style assumptions
hyundai-kona-electric-ultimate,Hyundai,Kona Electric,Ultimate 65kWh,2024,2018,2026,current,crossover,crossover,EV,electric,38000,14.7,kwh_per_100km,65,0,9600,340,33,0.43,Curated UK demo trim estimate using public model range and WLTP style assumptions
kia-niro-ev,Kia,Niro EV,3,2023,2019,2026,current,crossover,crossover,EV,electric,37500,16.2,kwh_per_100km,64,0,9500,355,31,0.44,Curated UK demo trim estimate using public model range and WLTP style assumptions
kia-ev6-air-rwd,Kia,EV6,Air RWD,2024,2021,2026,current,crossover,crossover,EV,electric,45995,16.5,kwh_per_100km,77,0,11300,390,39,0.46,Curated UK demo trim estimate using public model range and WLTP style assumptions
mg4-ev-long-range,MG,MG4 EV,SE Long Range,2024,2022,2026,current,hatchback,hatchback,EV,electric,26995,16.0,kwh_per_100km,64,0,8900,310,29,0.42,Curated UK demo trim estimate using public model range and WLTP style assumptions
mg4-ev-trophy,MG,MG4 EV,Trophy Long Range,2024,2022,2026,current,hatchback,hatchback,EV,electric,32995,16.6,kwh_per_100km,64,0,9000,330,30,0.43,Curated UK demo trim estimate using public model range and WLTP style assumptions
nissan-leaf-tekna,Nissan,Leaf,Tekna 59kWh,2021,2016,2024,used,hatchback,hatchback,EV,electric,28995,17.1,kwh_per_100km,59,0,8600,325,25,0.50,Curated UK demo trim estimate using public model range and WLTP style assumptions
volkswagen-id3-pro,Volkswagen,ID.3,Pro Match,2024,2020,2026,current,hatchback,hatchback,EV,electric,37950,15.5,kwh_per_100km,58,0,9100,345,28,0.45,Curated UK demo trim estimate using public model range and WLTP style assumptions
volkswagen-id4-match,Volkswagen,ID.4,Match Pro,2024,2021,2026,current,suv,crossover,EV,electric,44440,16.8,kwh_per_100km,77,0,11100,385,34,0.47,Curated UK demo trim estimate using public model range and WLTP style assumptions
bmw-i4-edrive40,BMW,i4,eDrive40 M Sport,2024,2021,2026,current,gran-coupe,compact-executive,EV,electric,51900,16.1,kwh_per_100km,84,0,12800,470,36,0.49,Curated UK demo trim estimate using public model range and WLTP style assumptions
bmw-ix1-edrive20,BMW,iX1,eDrive20 Sport,2024,2022,2026,current,suv,crossover,EV,electric,46205,16.7,kwh_per_100km,65,0,11200,420,35,0.48,Curated UK demo trim estimate using public model range and WLTP style assumptions
cupra-born-v2,Cupra,Born,V2 58kWh,2024,2021,2026,current,hatchback,hatchback,EV,electric,36500,15.8,kwh_per_100km,58,0,9200,340,28,0.45,Curated UK demo trim estimate using public model range and WLTP style assumptions
renault-zoe-r135-iconic,Renault,Zoe,R135 Iconic,2020,2016,2022,used,hatchback,supermini,EV,electric,28500,17.2,kwh_per_100km,52,0,8100,305,22,0.53,Curated UK demo trim estimate using public model range and WLTP style assumptions
peugeot-e208-gt,Peugeot,e-208,GT 51kWh,2024,2020,2026,current,hatchback,supermini,EV,electric,32500,15.4,kwh_per_100km,51,0,8400,315,26,0.44,Curated UK demo trim estimate using public model range and WLTP style assumptions
vauxhall-corsa-electric-gs,Vauxhall,Corsa Electric,GS 51kWh,2024,2020,2026,current,hatchback,supermini,EV,electric,32000,15.7,kwh_per_100km,51,0,8350,310,25,0.45,Curated UK demo trim estimate using public model range and WLTP style assumptions
fiat-500e-la-prima,Fiat,500e,La Prima 42kWh,2022,2020,2026,current,hatchback,city-car,EV,electric,30000,14.0,kwh_per_100km,42,0,7600,280,24,0.46,Curated UK demo trim estimate using public model range and WLTP style assumptions
mini-electric-level-2,MINI,Electric,Level 2,2022,2020,2024,used,hatchback,supermini,EV,electric,29000,15.8,kwh_per_100km,33,0,7700,305,27,0.49,Curated UK demo trim estimate using public model range and WLTP style assumptions
polestar-2-long-range,Polestar,2,Long Range Single Motor,2024,2020,2026,current,fastback,compact-executive,EV,electric,44950,16.6,kwh_per_100km,82,0,12300,430,37,0.48,Curated UK demo trim estimate using public model range and WLTP style assumptions
skoda-enyaq-85-edition,Skoda,Enyaq,85 Edition,2024,2021,2026,current,suv,crossover,EV,electric,44825,16.4,kwh_per_100km,82,0,11600,385,32,0.45,Curated UK demo trim estimate using public model range and WLTP style assumptions
audi-q4-etron-sport,Audi,Q4 e-tron,45 Sport,2024,2021,2026,current,suv,crossover,EV,electric,49915,17.0,kwh_per_100km,77,0,11900,450,36,0.48,Curated UK demo trim estimate using public model range and WLTP style assumptions
mercedes-eqa-250-amg-line,Mercedes-Benz,EQA,250+ AMG Line,2024,2021,2026,current,suv,crossover,EV,electric,52900,16.9,kwh_per_100km,70,0,11800,455,37,0.49,Curated UK demo trim estimate using public model range and WLTP style assumptions
volkswagen-golf-etsi,Volkswagen,Golf,1.5 eTSI Life DSG,2024,2019,2026,current,hatchback,hatchback,Petrol,petrol,29200,5.6,litres_per_100km,0,126,6100,560,21,0.41,Curated UK demo trim estimate using public model range and WLTP style assumptions
volkswagen-golf-gti,Volkswagen,Golf,GTI DSG,2023,2016,2026,current,hatchback,hatchback,Petrol,petrol,38500,7.0,litres_per_100km,0,160,6600,710,29,0.43,Curated UK demo trim estimate using public model range and WLTP style assumptions
